Updated 04/26/25 at 07:05pm,Position Rank,Position,Team,Value,Age,Rookie,SFPosition Rank,SFValue,RdrftPosition Rank,RdrftValue
Noah Brown,WR133,WR,WAS,1348,29.3,No,WR127,1239,,0
Tommy Tremble,TE51,TE,CAR,1333,24.9,No,TE55,1145,,0
Jordan James,RB92,RB,FA,1328,-1.0,Yes,RB104,926,,0
Chris Rodriguez,RB93,RB,WAS,1326,25.6,No,RB92,1179,,0
Brevin Jordan,TE52,TE,HOU,1315,24.8,No,TE53,1158,,0
JuJu Smith-Schuster,WR134,WR,KCC,1308,28.4,No,WR134,1126,,0
Jared Wiley,TE53,TE,KCC,1305,24.5,No,TE54,1151,,0
Grant Calcaterra,TE54,TE,PHI,1291,26.4,No,TE52,1168,,0
Ty Chandler,RB94,RB,MIN,1289,27.0,No,RB93,1103,,0
Will Howard,QB42,QB,FA,1283,-1.0,Yes,QB46,1604,,0
2027 Late 4th,,PI,,1266,,,,1178.99,,0
Rasheen Ali,RB95,RB,BAL,1256,24.2,No,RB94,1094,,0
Bo Melton,WR135,WR,GBP,1255.99,25.9,No,WR136,1079,,0
Greg Dulcich,TE55,TE,NYG,1255,25.1,No,TE56,1139,,0
Xavier Gipson,WR136,WR,NYJ,1250,24.1,No,WR137,1074,,0
Tyler Goodson,RB96,RB,IND,1217,24.4,No,RB97,1040,,0
Malik Willis,QB43,QB,GBP,1214,25.9,No,QB45,1635,,0
Terrance Ferguson,TE56,TE,FA,1197,-1.0,Yes,TE50,1219,,0
K.J. Osborn,WR137,WR,WAS,1190,27.9,No,WR140,1003,,0
Mack Hollins,WR138,WR,NEP,1187,31.6,No,WR141,1000,,0
Gunnar Helm,TE57,TE,FA,1186.99,-1.0,Yes,TE61,986,,0
Demarcus Robinson,WR139,WR,SFO,1176,30.6,No,WR135,1098,,0
Frank Gore Jr.,RB97,RB,BUF,1175,23.1,No,RB95,1065,,0
Raheem Mostert,RB98,RB,LVR,1161,33.0,No,RB96,1062,,0
Johnny Wilson,WR140,WR,PHI,1154,24.1,No,WR139,1010,,0
Aaron Rodgers,QB44,QB,NYJ,1151,41.4,No,QB47,1603,,0
KaVontae Turpin,WR141,WR,DAL,1142,28.7,No,WR138,1034,,0
Sione Vaki,RB99,RB,DET,1130,23.7,No,RB99,993,,0
Tim Patrick,WR142,WR,DET,1119,31.4,No,WR145,968,,0
Davis Allen,TE58,TE,LAR,1107,24.2,No,TE59,992.99,,0
Dylan Laube,RB100,RB,LVR,1106.99,25.4,No,RB102,956,,0
Carson Steele,RB101,RB,KCC,1089,22.5,No,RB103,931,,0
Elijah Higgins,TE59,TE,ARI,1088,24.5,No,TE60,991,,0
Marquez Valdes-Scantling,WR143,WR,SEA,1087.99,30.5,No,WR142,985.99,,0
Deuce Vaughn,RB102,RB,DAL,1080,23.5,No,RB98,1032,,0
Foster Moreau,TE60,TE,NOS,1078,28.0,No,TE62,975,,0
Sam Howell,QB45,QB,SEA,1077,24.6,No,QB44,1670,,0
Michael Carter,RB103,RB,ARI,1075,26.0,No,RB101,960,,0
Trey Sermon,RB104,RB,IND,1064,26.2,No,RB106,917,,0
Mecole Hardman,WR144,WR,GBP,1058,27.1,No,WR144,978,,0
Terrace Marshall,WR145,WR,PHI,1057.99,24.9,No,WR146,954,,0
Tyler Badie,RB105,RB,DEN,1055,25.2,No,RB108,897,,0
Samaje Perine,RB106,RB,CIN,1046,29.6,No,RB109,878,,0
Pierre Strong Jr.,RB107,RB,CLE,1045,26.4,No,RB107,901,,0
Mason Tipton,WR146,WR,NOS,1044,24.6,No,WR147,943,,0
Van Jefferson,WR147,WR,TEN,1041,28.8,No,WR150,902,,0
Jelani Woods,TE61,TE,IND,1037,26.5,No,TE58,1002,,0
Emari Demercado,RB108,RB,ARI,1027,26.3,No,RB105,925,,0
Jamari Thrash,WR148,WR,CLE,1025,24.4,No,WR151,900.99,,0
Tyler Shough,QB46,QB,FA,1022,-1.0,Yes,QB41,1795,,0
Stone Smartt,TE62,TE,NYJ,1021.99,26.6,No,TE57,1008,,0
